Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,1.8310136551759681,1.474731731414795,33.466,47.27,30.041255235671997
2,1.4761945945875985,1.2629073321819306,46.356,55.19,29.685382843017578
3,1.3317082354000636,1.1473192632198335,51.924,58.99,29.63991689682007
4,1.2284226697318408,1.0254956036806107,55.726,64.42,29.580730199813843
5,1.1398202898551006,0.96642487347126,59.186,66.21,29.719475984573364
6,1.0877579122173542,0.930538323521614,61.49,67.16,29.63257932662964
7,1.029922836289114,0.896935585141182,63.52,68.63,29.59693717956543
8,1.0071733003976393,0.8555404961109161,64.322,70.24,29.53401017189026
9,0.9756137990221685,0.8343102842569351,65.314,70.46,29.5993013381958
10,0.9458335759688397,0.8012331157922745,66.64,72.28,29.902599334716797
11,0.9216126714433942,0.8025130569934845,67.542,72.03,29.81541419029236
12,0.9039554462140921,0.7710378348827363,68.172,73.35,29.734692335128784
13,0.8819642212926125,0.7934061735868454,68.958,72.05,29.699998140335083
14,0.8686919960440421,0.7462860316038131,69.442,74.01,29.603585243225098
15,0.8588269498883462,0.7364056646823883,69.84,74.49,29.79650044441223
16,0.8458743989467621,0.7237077116966247,70.294,74.96,29.656357526779175
17,0.836793814994851,0.7358060836791992,70.686,74.48,29.786389350891113
18,0.8180490452416089,0.7215207636356353,71.192,74.98,29.756582498550415
19,0.8142684108140518,0.7178551346063614,71.538,74.97,29.650758981704712
20,0.8137350124972207,0.698249238729477,71.536,75.9,29.944989681243896
