Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,4.225097442159847,3.7709465980529786,5.988,12.87,30.110509157180786
2,3.7255884895519333,3.3925578236579894,12.562,19.55,30.062378406524658
3,3.46422232900347,3.193877804279327,16.972,22.7,29.400102615356445
4,3.300505742734792,3.0190106868743896,20.048,26.05,29.485662698745728
5,3.1777908023522823,2.882806324958801,22.198,28.46,29.570006370544434
6,3.06606096394208,2.7952693462371827,24.312,30.02,29.614527463912964
7,2.99163049094531,2.6692215323448183,25.694,32.57,29.413010358810425
8,2.9163254572420705,2.605991172790527,26.976,33.48,29.50401210784912
9,2.8575224292521573,2.5777276515960694,27.956,34.12,29.533284664154053
10,2.797034679626932,2.519997477531433,29.292,34.93,30.25287437438965
11,2.748928111426684,2.490219247341156,30.066,35.94,30.103567361831665
12,2.7338263282970505,2.44058552980423,30.474,36.98,29.642906188964844
13,2.6847574467561683,2.442008006572723,31.478,37.15,29.43662166595459
14,2.6776809935667076,2.3889200329780578,31.43,37.5,29.54755139350891
15,2.6472605296543668,2.394163191318512,32.318,37.5,29.698752641677856
16,2.617963194847107,2.3560017704963685,32.872,38.93,29.520771026611328
17,2.5951167831615525,2.3026641845703124,33.186,39.54,29.53351330757141
18,2.5903769390923634,2.312295746803284,33.364,39.74,29.449445962905884
19,2.5890116813231487,2.2844988346099853,33.154,40.03,29.598146677017212
20,2.5583165348792565,2.299100089073181,34.168,40.07,30.119837999343872
