Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,1.886651095078916,1.543604564666748,31.242,43.12,32.03185176849365
2,1.551553162993217,1.334914118051529,43.716,51.48,30.57024049758911
3,1.4130805803804982,1.227734225988388,48.432,55.89,30.33334732055664
4,1.3329615215865933,1.1430841982364655,51.67,58.63,29.96999740600586
5,1.2687552255027148,1.102308738231659,54.264,60.25,29.74368166923523
6,1.2150677722327563,1.0228499919176102,56.502,63.62,30.3282527923584
7,1.1491368267000939,1.0139014065265655,59.258,64.24,32.64227509498596
8,1.1327905496772455,0.9905327320098877,59.638,64.85,32.87064266204834
9,1.1184072409357344,0.9893156111240387,60.654,65.3,31.478665351867676
10,1.083452365228108,0.9156869918107986,61.622,67.93,32.29214572906494
11,1.0580193108441878,0.9518014669418335,62.966,67.04,32.60148072242737
12,1.0343080096098842,0.9018354743719101,63.47,68.64,33.205456256866455
13,1.0379914276453914,0.8872070223093033,63.746,69.06,32.6194703578949
14,0.9977472290700796,0.908427095413208,65.088,68.45,33.07055187225342
15,0.9974062898937537,0.8696218252182006,64.77,69.39,30.10904812812805
16,0.9670661791246764,0.8415810883045196,66.174,70.85,30.019872665405273
17,0.962158027352119,0.8506169736385345,66.078,70.97,31.630375385284424
18,0.968148871343963,0.8683201134204864,66.028,70.26,30.880783081054688
19,0.9552818536758423,0.8503839880228042,66.712,70.22,30.800063371658325
20,0.9765689810928033,0.8509982883930206,66.104,70.77,31.62197494506836
