Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,2.031429704354734,1.7397027134895324,26.116,37.94,32.65028524398804
2,1.6693273685416397,1.515869402885437,39.142,44.2,33.86687469482422
3,1.5367807989217797,1.4031107246875762,43.872,49.78,32.432966470718384
4,1.449039713460572,1.3298127889633178,47.562,52.57,33.25510621070862
5,1.37884060460694,1.2422084033489227,50.228,55.86,32.59607934951782
6,1.3148409164681727,1.1696725368499756,52.702,58.91,33.281630754470825
7,1.2626897133126551,1.1200000286102294,54.574,60.53,33.26491713523865
8,1.2089316431356936,1.0776933073997497,56.862,61.88,33.5668580532074
9,1.167237472777464,1.0348582178354264,58.31,63.89,32.85178589820862
10,1.1307264092017193,1.027642047405243,59.884,64.05,32.69661283493042
11,1.0976113439822683,0.9745692878961563,60.892,66.63,32.84971380233765
12,1.0712554509542427,0.9712894529104232,62.012,66.73,32.42735576629639
13,1.0489908024972798,0.917611089348793,62.73,68.31,33.8143413066864
14,1.017091885513189,0.8910991489887238,63.898,68.91,32.548285484313965
15,0.9950483252807539,0.8790922224521637,64.938,69.67,32.84015488624573
16,0.9744683534515147,0.8661255955696106,65.392,70.04,32.98034071922302
17,0.9584335411081508,0.8505601733922958,66.128,70.74,33.009294748306274
18,0.9445261182833691,0.8347936540842056,66.636,71.65,33.670437812805176
19,0.9255625836703242,0.8045956522226334,67.178,71.95,32.85310697555542
20,0.9139136769333664,0.7989768534898758,67.656,72.35,32.662150144577026
